cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	culture_klebsiella_spp	Pantoea sp. GABEPS69;Metapseudomonas otitidis;Xanthomonas citri;Ectopseudomonas oleovorans	8.045481569574558e-11
2	host_removed_fraction;log10_bacterial_reads	Cutibacterium acnes;Gordonia sp. w5E2;Gordonia bronchialis	9.801208126375116e-07
3	host_removed_fraction;log10_bacterial_reads	Serratia inhibens;Serratia odorifera;Serratia aquatilis;Serratia nevei;Serratia grimesii;Serratia quinivorans;Serratia sp. 1D1416;Serratia sp. NGAS9;Serratia rhizosphaerae;Serratia sp. SCBI;Serratia proteamaculans;Serratia plymuthica;Serratia rubidaea;Serratia liquefaciens;Serratia fonticola;Serratia symbiotica	1.0618815344572156e-06
4	host_removed_fraction;log10_bacterial_reads	Klebsiella michiganensis;Salmonella enterica;Klebsiella variicola;Klebsiella quasipneumoniae;Citrobacter freundii;Citrobacter koseri	1.5746213260133973e-06
5	chronicity_group_acute_like;culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas sp. PDNC002;Pseudomonas paraeruginosa;Pseudomonas citronellolis;Pseudomonas sp. ATCC 13867;Pseudomonas sp. GCEP-101	1.5746213260133973e-06
6	host_removed_fraction;log10_bacterial_reads	Serratia sp. UGAL515B_01;Serratia sp. FGI94;Serratia sp. JSRIV001;Serratia sp. HRI;Serratia sarumanii;Serratia sp. JSRIV002;Serratia sp. szju;Serratia sp. P2ACOL2;Serratia sp. Tan611;Serratia sp. JKS000199;Serratia nematodiphila;Serratia sp. SSNIH1;Serratia sp. LS-1;Serratia sp. CMO1;Serratia sp. 3ACOL1;Serratia ficaria	9.6459420238916e-06
7	culture_klebsiella_spp	Escherichia albertii;Klebsiella grimontii;Enterobacter roggenkampii;Enterobacter kobei;Raoultella ornithinolytica;Klebsiella aerogenes;Enterobacter cloacae;Erwinia tracheiphila;Raoultella planticola;Jejubacter calystegiae;Yokenella regensburgei;Klebsiella electrica;Klebsiella pasteurii;Shigella boydii;Klebsiella huaxiensis;Klebsiella africana;Klebsiella quasivariicola	9.859918701504062e-06
8	host_removed_fraction;log10_bacterial_reads	Serratia entomophila	1.6261745669798476e-05
9	culture_klebsiella_spp	Pseudomonas sp. LTJR-52;Pseudomonas sp. 02C 26;Pseudomonas allokribbensis;Pseudomonas libanensis;Pseudomonas juntendi;Pseudomonas lactis	1.8909663402182063e-05
10	chronicity_group_acute_like;culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas viridiflava;Pseudomonas sp. PS1(2021);Pseudomonas sp. MTM4;Pseudomonas cavernae;Pseudomonas sp. AN-1;Pseudomonas sp. SCB32;Pseudomonas sp. LS44;Pseudomonas sp. QE6;Pseudomonas sp. C9-3;Pseudomonas sp. DTU_2021_1001937_2_SI_NGA_ILE_001;Pseudomonas vanderleydeniana;Pseudomonas sp. J452;Pseudomonas sp. TCU-HL1;Pseudomonas solani	3.346375120894652e-05
11	chronicity_group_unknown;clinical_infection_flag_unknown	Serratia inhibens;Serratia odorifera;Serratia aquatilis;Serratia nevei;Serratia grimesii;Serratia quinivorans;Serratia sp. 1D1416;Serratia sp. NGAS9;Serratia rhizosphaerae;Serratia sp. SCBI;Serratia proteamaculans;Serratia plymuthica;Serratia rubidaea;Serratia liquefaciens;Serratia fonticola;Serratia symbiotica	0.00010200689995906025
12	host_removed_fraction;log10_bacterial_reads	Yersinia enterocolitica;Leclercia adecarboxylata;Enterobacter bugandensis;Enterobacter asburiae;Enterobacter ludwigii	0.00011800580886977851
13	culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas aeruginosa	0.00018051351508790238
14	host_removed_fraction;log10_bacterial_reads	Klebsiella grimontii	0.0002559063952166116
15	culture_p_aeruginosa	Pseudomonas sp. DR48;Pseudomonas sp. JDS08PS003;Pseudomonas lini;Pseudomonas thivervalensis;Pseudomonas sp. MYb327;Pseudomonas sp. ADAK13;Pseudomonas sp. URMO17WK12:I11	0.00027810389642903406
16	chronicity_group_unknown;clinical_infection_flag_unknown	Brevibacterium luteolum;Brevibacterium sp. CS2;Auritidibacter ignavus;Dermabacter jinjuensis;Alcaligenes faecalis;Streptococcus agalactiae;Pseudomonas sp. LM12	0.00032331623049447445
17	chronicity_group_acute_like;culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas brassicacearum	0.00032331623049447445
18	culture_serratia_marcescens	Serratia sp. UGAL515B_01;Serratia sp. FGI94;Serratia sp. JSRIV001;Serratia sp. HRI;Serratia sarumanii;Serratia sp. JSRIV002;Serratia sp. szju;Serratia sp. P2ACOL2;Serratia sp. Tan611;Serratia sp. JKS000199;Serratia nematodiphila;Serratia sp. SSNIH1;Serratia sp. LS-1;Serratia sp. CMO1;Serratia sp. 3ACOL1;Serratia ficaria	0.0003349387301654054
19	host_removed_fraction;log10_bacterial_reads	Atlantibacter hermannii;Pectobacterium brasiliense;Citrobacter werkmanii;Kosakonia cowanii;Cronobacter condimenti	0.0003604081154955697
20	culture_klebsiella_spp	Pseudomonas zeae;Pseudomonas sp. Z003-0.4C(8344-21);Pseudomonas sp. JS3066;Pseudomonas benzopyrenica;Pseudomonas sp. PP3;Pseudomonas sp. JBR1;Pseudomonas laurylsulfatiphila;Pseudomonas sp. CYM-20-01;Pseudomonas grandcourensis;Pseudomonas sp. B21-053;Pseudomonas helvetica;Pseudomonas sp. FP1742;Pseudomonas tritici	0.0003931510850439911
21	culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas sp. KHPS1	0.0003931510850439911
22	culture_p_aeruginosa	Staphylococcus hominis;Staphylococcus epidermidis;Staphylococcus capitis	0.00039524782274771966
23	chronicity_group_acute_like;culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas sp. FDAARGOS_761	0.0003961725587198603
24	culture_klebsiella_spp	Pseudomonas sichuanensis;Pseudomonas sp. A34-9;Pseudomonas sp. DY-1	0.0004471125992043043
25	body_region_head_neck	Brevibacterium sp. CS2;Auritidibacter ignavus	0.00046347990553358994
26	body_region_head_neck	Acinetobacter indicus;Acinetobacter pittii;Acinetobacter sp. 8_A20231192;Acinetobacter johnsonii	0.00047024294943761333
