X_features	Y_features	association	p-values	q-values
culture_klebsiella_spp	Xanthomonas citri	0.8042238159171431	5.928873669546469e-15	8.045481569574558e-11
host_removed_fraction	Cutibacterium acnes	0.7102966851119558	1.444540622899796e-10	9.801208126375116e-07
log10_bacterial_reads	Serratia plymuthica	0.7032375743015546	2.625730147402759e-10	1.0618815344572156e-06
log10_bacterial_reads	Serratia rubidaea	0.7011221971869079	3.1300855842511877e-10	1.0618815344572156e-06
culture_p_aeruginosa	Pseudomonas paraeruginosa	0.691931859046023	6.599979224793882e-10	1.5746213260133973e-06
log10_bacterial_reads	Salmonella enterica	0.691260349570559	6.962216622019442e-10	1.5746213260133973e-06
log10_bacterial_reads	Cutibacterium acnes	-0.6811042370305175	1.5355306495767412e-09	2.976735844965197e-06
log10_bacterial_reads	Serratia symbiotica	0.6736374598096568	2.69290960291624e-09	4.164984679533692e-06
culture_p_aeruginosa	Pseudomonas citronellolis	0.6732939638528641	2.762333243611144e-09	4.164984679533692e-06
log10_bacterial_reads	Serratia fonticola	0.6671404413345439	4.333710205506186e-09	5.880844748871894e-06
log10_bacterial_reads	Serratia inhibens	0.6615774541353151	6.453219113291519e-09	7.786726802115035e-06
host_removed_fraction	Serratia rubidaea	-0.6606596956530173	6.885830628252058e-09	7.786726802115035e-06
log10_bacterial_reads	Klebsiella quasipneumoniae	0.6583187536159493	8.11703703844764e-09	8.472937893210344e-06
log10_bacterial_reads	Serratia odorifera	0.6544762556365115	1.060029125723063e-08	9.6459420238916e-06
log10_bacterial_reads	Serratia sp. UGAL515B_01	0.6543915003850986	1.0662426702901548e-08	9.6459420238916e-06
culture_klebsiella_spp	Shigella boydii	0.6531342949017207	1.1625548947978262e-08	9.859918701504062e-06
log10_bacterial_reads	Serratia aquatilis	0.6496677522160597	1.4725573098086052e-08	1.1754472173001632e-05
log10_bacterial_reads	Serratia entomophila	0.6439745556142773	2.1570480623166733e-08	1.6261745669798476e-05
culture_klebsiella_spp	Pseudomonas allokribbensis	0.6408688621336133	2.6476315743659484e-08	1.8909663402182063e-05
host_removed_fraction	Serratia aquatilis	-0.6393821715254102	2.9181470412640924e-08	1.945581323501194e-05
host_removed_fraction	Serratia fonticola	-0.6385629494095377	3.0781617102569725e-08	1.945581323501194e-05
culture_p_aeruginosa	Pseudomonas sp. ATCC 13867	0.6378518836491406	3.2237349928072766e-08	1.945581323501194e-05
log10_bacterial_reads	Serratia liquefaciens	0.6375026253237165	3.297595463561346e-08	1.945581323501194e-05
culture_klebsiella_spp	Klebsiella huaxiensis	0.6364361133157248	3.533156138796608e-08	1.9977053668112487e-05
host_removed_fraction	Serratia sp. UGAL515B_01	-0.632372738758449	4.5844219330747126e-08	2.4884242252729532e-05
host_removed_fraction	Serratia symbiotica	-0.630278867980476	5.2352564444345714e-08	2.7324011519606583e-05
log10_bacterial_reads	Serratia grimesii	0.6292489698079555	5.586478643872568e-08	2.8077227850870647e-05
host_removed_fraction	Serratia odorifera	-0.626526434722778	6.625070007309824e-08	3.2107928571140826e-05
log10_bacterial_reads	Serratia proteamaculans	0.6246014111255138	7.46657613345783e-08	3.346375120894652e-05
culture_p_aeruginosa	Pseudomonas cavernae	0.6245898934264794	7.471901657167749e-08	3.346375120894652e-05
log10_bacterial_reads	Serratia nevei	0.6242204636925269	7.644629974040842e-08	3.346375120894652e-05
log10_bacterial_reads	Serratia quinivorans	0.6226991347366119	8.39640698915392e-08	3.35112429619698e-05
log10_bacterial_reads	Serratia rhizosphaerae	0.6221469216570963	8.686130398889504e-08	3.35112429619698e-05
log10_bacterial_reads	Serratia sp. SCBI	0.6215538316616177	9.007784063437885e-08	3.35112429619698e-05
log10_bacterial_reads	Serratia sp. NGAS9	0.6214369334120047	9.072492559151465e-08	3.35112429619698e-05
host_removed_fraction	Serratia inhibens	-0.6212338637247197	9.185943780381899e-08	3.35112429619698e-05
log10_bacterial_reads	Serratia sp. 3ACOL1	0.6210065898473125	9.31450285752041e-08	3.35112429619698e-05
log10_bacterial_reads	Serratia sp. 1D1416	0.6208847203324893	9.384135833123452e-08	3.35112429619698e-05
host_removed_fraction	Serratia entomophila	-0.6123145723009938	1.571951612545519e-07	5.469585482626331e-05
culture_klebsiella_spp	Enterobacter cloacae	0.6112751295360679	1.671712063181153e-07	5.6413440830967646e-05
host_removed_fraction	Serratia plymuthica	-0.6109466325949481	1.7044591555413954e-07	5.6413440830967646e-05
