	01A	01D	01E	01F	01G	02A	02B	02C	02H	02I	02J	02K	02L	02M	02N	02O	03A	03B	03C	03D	03E	03F	03I	04B	04C	05C	05E	05F	05G	06A	07A	07B	07C	07D	08B	09A	10A	10B	10C	11A	11B	12A	12B	13B	13C	13D	14A	15A	16A	16C	16D	16E	16F	16G	16H	17B	17C	17G	17I	20B	20C
class	lower_extremity	upper_extremity	upper_extremity	trunk_perineum	upper_extremity	lower_extremity	trunk_perineum	lower_extremity	upper_extremity	lower_extremity	lower_extremity	trunk_perineum	lower_extremity	trunk_perineum	trunk_perineum	trunk_perineum	head_neck	head_neck	head_neck	head_neck	lower_extremity	head_neck	lower_extremity	trunk_perineum	head_neck	upper_extremity	upper_extremity	trunk_perineum	upper_extremity	upper_extremity	trunk_perineum	trunk_perineum	lower_extremity	lower_extremity	lower_extremity	upper_extremity	trunk_perineum	lower_extremity	upper_extremity	head_neck	head_neck	lower_extremity	head_neck	trunk_perineum	lower_extremity	upper_extremity	lower_extremity	lower_extremity	trunk_perineum	upper_extremity	trunk_perineum	trunk_perineum	trunk_perineum	trunk_perineum	trunk_perineum	head_neck	trunk_perineum	trunk_perineum	lower_extremity	lower_extremity	trunk_perineum
subclass	unknown	chronic_like	chronic_like	chronic_like	chronic_like	chronic_like	chronic_like	unknown	unknown	unknown	unknown	unknown	mixed	acute_like	acute_like	unknown	unknown	unknown	unknown	unknown	unknown	mixed	chronic_like	unknown	chronic_like	chronic_like	acute_like	chronic_like	acute_like	mixed	chronic_like	chronic_like	chronic_like	chronic_like	acute_like	acute_like	acute_like	acute_like	acute_like	acute_like	acute_like	acute_like	chronic_like	acute_like	acute_like	acute_like	acute_like	unknown	acute_like	acute_like	chronic_like	chronic_like	chronic_like	chronic_like	chronic_like	acute_like	chronic_like	chronic_like	acute_like	chronic_like	chronic_like
subject	01	01	01	01	01	02	02	02	02	02	02	02	02	02	02	02	03	03	03	03	03	03	03	04	04	05	05	05	05	06	07	07	07	07	08	09	10	10	10	11	11	12	12	13	13	13	14	15	16	16	16	16	16	16	16	17	17	17	17	20	20
Pseudomonas aeruginosa	0.05924456429304975	0.49563717032289867	0.7585296654961665	0.5782199962656149	0.6915091693553607	0.8203175140932991	0.9232689713251687	0.0012687206636591345	0.02317533654336794	0.14320497037254454	0.09151485191726236	0.0003582464705819764	0.0027755802037814793	0.2570347551016189	0.23101886282198633	0.0005608904743165824	0.26289088380359454	0.0012915512574955157	0.00017466052363705704	0.0007367563399869856	0.09763261727312582	0.0167363679583565	0.034945324425888595	0.5110361182050347	0.46846186853094157	0.308323117192936	0.33834755276156264	0.29257428165842675	0.42275890298812935	0.9750830193349509	0.5740057985572093	0.2773275136060274	0.034900596482557916	0.6372285188782126	0.6215968885838481	0.04789281685281313	0.05513557929334429	0.0067107200328688325	0.007718071938255425	0.019337016574585635	0.027544250683842014	0.0006041103030730851	0.001147036202165796	3.288047084834255e-05	0.006350089812027222	0.007988752894475686	0.00014568200942036694	0.006340940151583887	0.9846344431394229	0.035898331732029	0.01702640082921773	0.3530647775709912	0.964479980368901	0.8585649331432107	0.11883626579663782	0.5759608323133415	0.974159461240606	0.0544847872854195	0.041098432136561835	0.31180811475306336	0.9754160632623232
Staphylococcus aureus	0.8820451267217237	0.032240571851121516	0.015911106790925993	0.039201080694595616	0.0020902129982150533	0.0005338474181306967	0.0008385709224638001	0.00015671316941670338	0.03518049486487239	7.290499739876051e-05	0.001193328004537533	0.0199673603522458	0.21535281239325543	0.26919180432939815	0.05057129335406666	0.8765568224213093	0.6672027324401351	0.9302077066191914	0.18688075132868187	0.47955911275725865	0.4720736519070583	0.5215993424710518	0.0007726601733545345	0.05928493250638453	0.1755554625278647	0.33451509227659787	0.04729830863643167	0.024866611189975036	0.03864101514531314	0.002070933300607474	0.013452919063708033	0.005187901156780422	0.08101327004694886	0.003809642654976408	0.038053839701060015	0.8197176983225496	0.703321986148609	0.059540521107953576	0.8774630059033729	0.231353591160221	0.8989707925528285	0.9246637110787487	0.8931207102575908	0.00019380277525574165	0.8069673893794116	0.6726265299371486	0.9805972922086924	0.0033702374633238865	0.0013885496085061521	0.029871604506943837	0.7560209743308335	0.24843909467491146	0.010101836325712649	0.013492426484435955	0.0009533595330656865	0.1366952264381885	0.0011356147451725767	0.06251920797295517	0.01688468318025791	0.6383896762648975	0.004176432068436473
Serratia marcescens	5.063416040123028e-05	0.05807246734039931	0.00043134348306824946	0.0009555129997586312	0.0003627039991323094	0.02690122587600784	0.01171076818106452	0.838717511902183	0.03579281360460909	0.03527971052120044	0.07259009209125908	0.9290781906776953	0.0013902236569873119	0.014617404428639362	0.2727334189709959	0.0007998119292077007	0.011332968324411866	0.021323078751573122	0.04211121308543824	0.022850018500932337	0.06023673827268742	0.05432671775408739	0.6351527533534697	0.026450200656694636	0.02673441408253184	0.03561843543951493	0.15476725041161501	0.12066180429781194	0.16234138354482194	0.0009854158454867955	0.0009654749946732414	0.0009341558353045134	0.6896714351067079	0.0008427692747301239	0.19049797910470526	0.0015584355168229624	0.0005282310130296983	0.002739069401170952	0.00793090701347582	0.0024664561957379637	1.4593207891835143e-05	0.000398477498809427	0.0002581496789097035	6.840097950202647e-05	0.0027323095605535455	0.0006450545815415151	7.052379432521221e-06	0.00015449154243641556	3.70582411856217e-05	0.05764695606603197	0.0008078775684409487	0.0008104700726421324	0.009232751216719152	0.005031074282332051	0.002542292088175164	0.004944920440636475	0.0003945660198046686	0.045396672081485706	0.20706930141942667	0.0	0.0
Pseudomonas sp. B111	0.0005193247220639004	0.2505792457480897	0.0	4.6110546905242255e-05	0.0	0.01320341976752934	0.021988331577861252	2.172117417961749e-05	0.0	0.003318574201742096	0.0018019026826493446	0.0	0.0	0.16374801000682285	0.0	0.0	0.00501306670592813	0.0	0.0	0.0	0.03279263480929417	0.0	0.0010005909512673136	0.33126596132798247	0.2626189155529508	0.13578078923826248	0.2230953450082323	0.08081648636741887	0.17994269340974212	0.0005805893358765209	0.3985999185766901	0.15765786161243875	0.020863527014498826	0.3409960230694525	0.09532524975215435	0.02495822850076177	0.009531635168447001	0.0	0.0	0.0	0.010747897612336584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02692778457772338	0.003727871068835507	0.0	0.0	0.0	8.269496851540345e-05
Corynebacterium striatum	0.0020747022646452817	0.03608577766822776	0.00014580624779771814	0.00011954586234692437	8.892662358147458e-05	0.0893017009488785	0.012910175097902857	0.09307275310488879	0.08557618265653558	0.0003471323238319227	0.02361530568793021	0.0005887236427457859	0.02713413932678132	0.023052907974445386	0.028125211277127984	0.000507228971079005	0.028250014460137345	0.005536123876397877	0.08202554930934983	0.007698939705188099	0.0415168785620342	0.0019177927655699794	0.000723127279142228	0.004104341481211237	0.003014097183702944	0.0052847818163745406	0.003068402933692561	0.007832003524401585	0.0031927957429390094	1.092017559642359e-05	3.09142239673698e-05	0.00010247117581146447	0.003998892697879877	0.0029912883699648603	0.0037367497902844504	0.0005272319161391117	0.1599953046132175	0.05666449823672407	0.0027556541318009206	0.001085240726124704	3.0474051774126327e-05	9.207438996880213e-06	0.00045420149691329274	0.0	0.0006830773901383864	0.009973536222295732	0.0	0.0	0.00038948967776724854	0.015459865490435846	0.1275836839217121	0.34062256108542954	0.0019631098932558996	0.09475638300734483	0.03978687117994131	0.007784577723378213	0.000404465525677904	0.7639285243886377	0.001113275814082939	0.0	0.0
Escherichia coli	5.387993991412966e-05	0.07784076904116342	0.0009325524598729055	0.00030882681106288797	0.0003589136840288367	0.0010394625208794816	0.009704400767715855	0.0018245786310878693	0.019111766725115272	0.11163260062759578	0.7806860305855723	0.0014023845637804026	0.0012645637210915777	0.02015837244402175	0.1380569265093638	0.00039096238073092076	0.00013983610091598396	7.032677688513563e-05	0.0001512255680573143	0.0003321054061000217	0.14432266549758876	0.00023368063109886303	0.003719867378986769	0.045238963881794964	0.016425783089658925	0.011182532056591896	0.002843885645861398	0.0010279504625777083	0.01244371674171101	5.304085289691458e-05	0.0004294699114236143	0.003507373873472405	0.0003354205054116747	0.0027046383054912023	0.0	0.005698756740621281	0.002512031928630121	0.030437908720512205	0.0	0.013466850828729282	0.00019014091459067554	1.3299634106604751e-05	9.580812825514769e-05	0.03248410517238607	0.0011890606420927466	0.008203771088322858	0.00012815180911667135	0.0001407391161154861	0.0	0.0	0.002774221084080239	0.007834544035540613	0.0	0.0017891253463908096	0.0	0.014981640146878824	0.0012699651820236287	0.0025903323528120473	0.28917339270804343	0.0	2.3531088601944072e-05
Klebsiella pneumoniae	0.0004394785460465756	0.02568400295785063	0.20768581183703722	0.35819669051511743	0.283248206743612	0.0002605072737512775	0.0012835025783371962	0.0014012344041240492	0.006151020067355062	0.014205299931970356	0.0009818917735135433	0.00026846501587795136	0.47785863080225904	0.002356978931916389	0.04861064160638226	0.00011882190002606415	5.816918886516842e-05	6.048102812121664e-05	5.388036795684443e-05	7.874288443205784e-05	0.0156510302498904	0.00224011087743048	9.840358395653395e-05	0.0	0.00094190536990717	0.007985156224114508	0.023274958838497232	0.030055313524891086	0.03282848956201392	0.0002784644777088016	0.0005127005144126869	0.011618324896539859	0.0003184136710938267	0.0002504797093350261	0.0	0.0007869711689429388	0.0	0.04526312185434998	0.0	0.0	3.3907747748675775e-05	3.785280476495199e-05	0.0	0.049096663064215076	0.001467351430667645	0.005706252067482633	9.893480861051199e-05	0.00011251985171669573	0.0	0.0	0.0	0.002851653959296392	0.0015950267882704184	0.0	0.0007203160916496298	0.00200734394124847	5.9397035239412477e-05	0.004258682003775739	0.015029223490119677	0.0	0.0
