outcome	model_name	term	estimate	conf_low	conf_high	pvalue	prevalence	qvalue
Staphylococcus aureus	species_mixedlm	log10_bacterial_reads	1.3991368573032064	0.685330750150686	2.1129429644557267	0.00012216494256582047	1.0	0.0056230028765635225
Pseudomonas aeruginosa	species_mixedlm	log10_bacterial_reads	1.1431992608647894	0.5341415702569875	1.7522569514725914	0.00023429178652348008	1.0	0.0056230028765635225
Pseudomonas aeruginosa	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	2.856898424828472	1.2777955750810255	4.4360012745759185	0.0003912020522402704	1.0	0.006259232835844326
Klebsiella pneumoniae	species_mixedlm	log10_bacterial_reads	1.2687014034693833	0.4345385715047073	2.102864235434059	0.0028734292301751197	0.8032786885245902	0.03297941857202472
Serratia marcescens	species_mixedlm	log10_bacterial_reads	1.0558950304312764	0.34856948148780287	1.76322057937475	0.0034353561012525754	0.9672131147540983	0.03297941857202472
Staphylococcus aureus	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.head_neck]	2.7057261449420893	0.7707330248202824	4.640719265063896	0.006131904938348887	1.0	0.049055239506791096
Corynebacterium striatum	species_mixedlm	Intercept	6.616857607739025	1.6102952675356281	11.623419947942422	0.00958754000726229	0.9180327868852459	0.06574313147836998
Cutibacterium acnes	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.head_neck]	1.967340477089599	0.4221491180972401	3.512531836081958	0.012580466451116636	0.9508196721311475	0.07548279870669981
Corynebacterium striatum	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-2.646083304154648	-4.762407880305898	-0.5297587280033982	0.014262527332111306	0.9180327868852459	0.07606681243792697
Klebsiella pneumoniae	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.mixed]	3.7996580940926656	0.6051909803246551	6.994125207860677	0.01973867063597742	0.8032786885245902	0.0947456190526916
Cutibacterium acnes	species_mixedlm	Intercept	4.477080773452329	0.4468551004084498	8.507306446496209	0.029459917119250622	0.9508196721311475	0.12855236561127545
Cutibacterium acnes	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.acute_like]	1.1090357480121389	-0.03512600940348798	2.2531975054277655	0.05746033282778763	0.9508196721311475	0.22984133131115053
Serratia marcescens	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-1.3980899982698554	-2.90364965679065	0.10746966025093907	0.06875015829694943	0.9672131147540983	0.2538467383271979
Corynebacterium striatum	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-1.1938958425951018	-2.7898928798907026	0.4021011947004989	0.14260370693952834	0.9180327868852459	0.4623016205016306
Cutibacterium acnes	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	0.9958577127296915	-0.3416195673206892	2.333334992780072	0.14446925640675956	0.9508196721311475	0.4623016205016306
Corynebacterium striatum	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.head_neck]	1.4419361334061958	-0.6083401769700123	3.492212443782404	0.16807349878611566	0.9180327868852459	0.504220496358347
