group	label	threshold	culture_only	sequencing_only	both	neither
s_aureus	S. aureus	0	0	21	53	0
s_aureus	S. aureus	0.001	3	16	50	5
s_aureus	S. aureus	0.002	4	14	49	7
s_aureus	S. aureus	0.005	6	11	47	10
s_aureus	S. aureus	0.01	7	11	46	10
s_aureus	S. aureus	0.02	12	10	41	11
s_aureus	S. aureus	0.05	17	5	36	16
s_aureus	S. aureus	0.1	21	4	32	17
p_aeruginosa	P. aeruginosa	0	0	57	17	0
p_aeruginosa	P. aeruginosa	0.001	0	49	17	8
p_aeruginosa	P. aeruginosa	0.002	0	46	17	11
p_aeruginosa	P. aeruginosa	0.005	0	45	17	12
p_aeruginosa	P. aeruginosa	0.01	0	40	17	17
p_aeruginosa	P. aeruginosa	0.02	1	38	16	19
p_aeruginosa	P. aeruginosa	0.05	2	31	15	26
p_aeruginosa	P. aeruginosa	0.1	2	22	15	35
serratia_marcescens	Serratia	0	0	70	4	0
serratia_marcescens	Serratia	0.001	0	43	4	27
serratia_marcescens	Serratia	0.002	0	41	4	29
serratia_marcescens	Serratia	0.005	0	36	4	34
serratia_marcescens	Serratia	0.01	0	32	4	38
serratia_marcescens	Serratia	0.02	0	29	4	41
serratia_marcescens	Serratia	0.05	0	17	4	53
serratia_marcescens	Serratia	0.1	0	10	4	60
proteus_mirabilis	Proteus	0	0	72	2	0
proteus_mirabilis	Proteus	0.001	1	0	1	72
proteus_mirabilis	Proteus	0.002	1	0	1	72
proteus_mirabilis	Proteus	0.005	2	0	0	72
proteus_mirabilis	Proteus	0.01	2	0	0	72
proteus_mirabilis	Proteus	0.02	2	0	0	72
proteus_mirabilis	Proteus	0.05	2	0	0	72
proteus_mirabilis	Proteus	0.1	2	0	0	72
gas	GAS	0	0	70	4	0
gas	GAS	0.001	2	2	2	68
gas	GAS	0.002	2	0	2	70
gas	GAS	0.005	3	0	1	70
gas	GAS	0.01	3	0	1	70
gas	GAS	0.02	3	0	1	70
gas	GAS	0.05	3	0	1	70
gas	GAS	0.1	3	0	1	70
klebsiella_spp	Klebsiella spp.	0	0	69	5	0
klebsiella_spp	Klebsiella spp.	0.001	0	36	5	33
klebsiella_spp	Klebsiella spp.	0.002	0	32	5	37
klebsiella_spp	Klebsiella spp.	0.005	1	27	4	42
klebsiella_spp	Klebsiella spp.	0.01	1	23	4	46
klebsiella_spp	Klebsiella spp.	0.02	1	16	4	53
klebsiella_spp	Klebsiella spp.	0.05	1	7	4	62
klebsiella_spp	Klebsiella spp.	0.1	1	2	4	67
e_coli	E. coli	0	0	72	2	0
e_coli	E. coli	0.001	1	43	1	29
e_coli	E. coli	0.002	1	35	1	37
e_coli	E. coli	0.005	1	28	1	44
e_coli	E. coli	0.01	1	22	1	50
e_coli	E. coli	0.02	1	13	1	59
e_coli	E. coli	0.05	1	6	1	66
e_coli	E. coli	0.1	1	5	1	67
acinetobacter_baumannii	A. baumannii	0	0	71	3	0
acinetobacter_baumannii	A. baumannii	0.001	1	19	2	52
acinetobacter_baumannii	A. baumannii	0.002	2	16	1	55
acinetobacter_baumannii	A. baumannii	0.005	2	12	1	59
acinetobacter_baumannii	A. baumannii	0.01	2	10	1	61
acinetobacter_baumannii	A. baumannii	0.02	2	6	1	65
acinetobacter_baumannii	A. baumannii	0.05	2	3	1	68
acinetobacter_baumannii	A. baumannii	0.1	2	1	1	70
e_faecalis	E. faecalis	0	0	72	2	0
e_faecalis	E. faecalis	0.001	1	11	1	61
e_faecalis	E. faecalis	0.002	1	8	1	64
e_faecalis	E. faecalis	0.005	2	2	0	70
e_faecalis	E. faecalis	0.01	2	1	0	71
e_faecalis	E. faecalis	0.02	2	0	0	72
e_faecalis	E. faecalis	0.05	2	0	0	72
e_faecalis	E. faecalis	0.1	2	0	0	72
