group	level	random_intercept
batch	2023-06-23	-3.875473014891477
batch	2023-07-31	-2.8456958669262518
batch	2022-10-06	-2.612906854680503
batch	2022-06-02	-2.0472589293148524
batch	2023-06-08	-1.7029991538878597
batch	2022-01-06	-1.5031016837687852
batch	2022-11-18	-1.1582427278782255
batch	2023-03-23	-1.103427539622655
batch	2022-06-09	-1.0864388273261152
batch	2024-01-11	-1.0023698797026184
batch	2022-03-31	-0.9003290748565742
batch	2023-09-21	-0.8769452059419537
batch	2022-12-01	-0.8092030199506249
batch	2021-12-16	-0.7965199690146678
batch	2025-01-31	-0.7870388745557748
batch	2023-09-28	-0.6590102763695322
batch	2022-10-25	-0.6344363747240553
batch	2024-09-19	-0.16050179001058065
batch	2023-08-31	0.025215222592601155
batch	2023-01-05	0.08622524386547882
batch	2024-04-04	0.11233042793925582
batch	2022-06-01	0.11840267992082813
batch	2023-01-26	0.17747162645009826
batch	2023-07-27	0.26266161069614746
batch	2023-04-20	0.27098869692165245
batch	2024-04-19	0.27929710221901505
batch	2021-12-02	0.62079226298322
batch	2024-03-21	0.6588020859044486
batch	2024-07-11	0.7394991791244464
batch	2023-08-17	0.7446194573799026
batch	2022-11-17	0.9003290748565741
batch	2024-09-12	1.032493265690261
batch	2024-05-16	1.1727185707647148
batch	2024-07-19	1.3068688316342565
batch	2024-05-02	1.3081948971335415
batch	2022-01-21	2.020969744784833
batch	2022-03-17	2.0757407062922235
batch	2023-03-30	2.5097807005844825
batch	2024-02-01	2.533405599341321
batch	2024-09-26	2.564835957498666
batch	2022-10-26	3.0402561188451296
patient	02	-1.3626863915948915
patient	13	-1.1315752939992578
patient	07	-1.0410385720883137
patient	12	-0.9087129095445312
patient	11	-0.6830089169605862
patient	09	-0.625124529596662
patient	01	-0.6082328788345098
patient	06	-0.4859238705801631
patient	08	-0.47330317398215344
patient	03	-0.36391316775620314
patient	14	-0.2130829914541462
patient	10	0.3880306424229344
patient	15	0.5299377963361566
patient	05	0.5716488072179041
patient	20	0.9595092103266257
patient	16	1.019668629956662
patient	04	2.1979791898580348
patient	17	2.2298284202730976
