sample_i	sample_j	distance	comparison_group	same_patient	same_batch
01A	01D	0.9036911422883824	Same patient, different batch date	True	False
01A	01E	0.9233142819571841	Same patient, different batch date	True	False
01A	01F	0.8984776172189278	Same patient, different batch date	True	False
01A	01G	0.9375815482828344	Same patient, different batch date	True	False
01A	02A	0.9367631105758424	Different patient	False	False
01A	02B	0.9362431806380985	Different patient	False	False
01A	02C	0.9957559786104409	Different patient	False	False
01A	02H	0.9374665482178315	Different patient	False	False
01A	02I	0.9389134305352647	Different patient	False	False
01A	02J	0.9358289801791297	Different patient	False	False
01A	02K	0.977259886962839	Different patient	False	False
01A	02L	0.7732708929169934	Different patient	False	False
01A	02M	0.6640864316469528	Different patient	False	False
01A	02N	0.8864255296769461	Different patient	False	False
01A	02O	0.1103090321743714	Different patient	False	False
01A	03A	0.26162651616475313	Different patient	False	False
01A	03B	0.10243693289188759	Different patient	False	False
01A	03C	0.8057871236626463	Different patient	False	False
01A	03D	0.47760649134770305	Different patient	False	False
01A	03E	0.453507258229791	Different patient	False	False
01A	03F	0.45147541506920685	Different patient	False	False
01A	03I	0.9625464181573723	Different patient	False	False
01A	04B	0.8767579405317217	Different patient	False	False
01A	04C	0.7586974649338689	Different patient	False	False
01A	05C	0.5973077884206975	Different patient	False	False
01A	05E	0.8895628408109421	Different patient	False	False
01A	05F	0.9030319009873968	Different patient	False	False
01A	05G	0.8964434533741391	Different patient	False	False
01A	06A	0.9370138264911089	Different patient	False	False
01A	07A	0.925782158306279	Different patient	False	False
01A	07B	0.9339686263432221	Different patient	False	False
01A	07C	0.8786282759540955	Different patient	False	False
01A	07D	0.9335851596511306	Different patient	False	False
01A	08B	0.9000569348587798	Different patient	False	False
01A	09A	0.12314372597334254	Different patient	False	False
01A	10A	0.2268202445924067	Different patient	False	False
01A	10B	0.9309580376339865	Different patient	False	False
01A	10C	0.09823089208356184	Different patient	False	False
01A	11A	0.7437466305311822	Different patient	False	False
01A	11B	0.07541777432382706	Different patient	False	False
01A	12A	0.08440312207076296	Different patient	False	False
01A	12B	0.09807353707821889	Different patient	False	False
01A	13B	0.9991902617101406	Different patient	False	False
01A	13C	0.1427755649062114	Different patient	False	False
01A	13D	0.3086497925160084	Different patient	False	False
01A	14A	0.10709194899427137	Different patient	False	False
01A	15A	0.9878548021647362	Different patient	False	False
01A	16A	0.9384923769469716	Different patient	False	False
