species	term	estimate	conf_low	conf_high	pvalue	prevalence	qvalue
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	2.7109064536695633	1.2936803158162449	4.128132591522881	0.00017749203353933037	1.0	0.007454665408651876
Serratia marcescens	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-3.145463522061274	-5.042783968015495	-1.2481430761070529	0.0011568256177551506	0.9672131147540983	0.024293337972858164
Staphylococcus aureus	C(body_region, Treatment('lower_extremity'))[T.head_neck]	2.8456726988245387	1.0106453587132027	4.680700038935875	0.0023703534594583372	1.0	0.02708280924914416
Staphylococcus aureus	log10_bacterial_reads	1.2090596874371913	0.42279247489117655	1.9953268999832061	0.002579315166585158	1.0	0.02708280924914416
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.head_neck]	2.1462460893472013	0.7149835869825967	3.5775085917118057	0.00329210325840108	0.9508196721311475	0.027653667370569072
Pseudomonas aeruginosa	log10_bacterial_reads	1.1951499080939088	0.37409236907830923	2.016207447109508	0.004331300095615042	1.0	0.030319100669305293
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-3.7105371964712193	-6.319031068860335	-1.102043324082104	0.00530321369060288	0.9180327868852459	0.03181928214361728
Klebsiella pneumoniae	log10_bacterial_reads	1.5467489029837638	0.36645786227035404	2.7270399436971733	0.010214105922069042	0.8032786885245902	0.053624056090862474
Klebsiella pneumoniae	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-2.1218010740139768	-4.150915916071482	-0.09268623195647141	0.04041407498205338	0.8032786885245902	0.18859901658291578
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	0.9984504279948414	-0.019648546210396356	2.016549402200079	0.054588376764410036	0.9508196721311475	0.22927118241052216
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.acute_like]	1.3748315092111523	-0.17212236454105323	2.9217853829633578	0.08152806069437278	0.9508196721311475	0.31128895901487785
Serratia marcescens	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-2.137942006385943	-4.828593530346746	0.5527095175748595	0.1193871296407546	0.9672131147540983	0.4178549537426411
Serratia marcescens	log10_bacterial_reads	0.6945233879342112	-0.25323636946562045	1.642283145334043	0.1509249508908241	0.9672131147540983	0.48760368749343175
Serratia marcescens	C(chronicity_group, Treatment('unknown'))[T.mixed]	-1.6314527592323944	-4.020809452146601	0.7579039336818123	0.18081058297523045	0.9672131147540983	0.5424317489256913
Klebsiella pneumoniae	C(chronicity_group, Treatment('unknown'))[T.mixed]	2.546908714003123	-1.705821485893742	6.799638913899988	0.24047564871181804	0.8032786885245902	0.6551531875067325
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-1.4657156532096174	-3.960797801049338	1.029366494630103	0.2495821666692314	0.9180327868852459	0.6551531875067325
