outcome	model_name	term	estimate	conf_low	conf_high	pvalue	prevalence	qvalue
Staphylococcus aureus	species_mixedlm	log10_bacterial_reads	1.5483859779964213	0.9163257866896406	2.180446169303202	1.5755153439540112e-06	1.0	8.35023132295626e-05
Pseudomonas aeruginosa	species_mixedlm	log10_bacterial_reads	1.2936153021028762	0.7358574291088139	1.8513731750969384	5.4734597136108345e-06	1.0	0.00014504668241068712
Klebsiella pneumoniae	species_mixedlm	log10_bacterial_reads	1.5740206079881893	0.8064048841601249	2.341636331816254	5.845339106254974e-05	0.8032786885245902	0.0010326765754383788
Pseudomonas aeruginosa	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	2.943394295243277	1.3499304039517086	4.536858186534845	0.00029416922769471345	1.0	0.0038977422669549534
Serratia marcescens	species_mixedlm	log10_bacterial_reads	1.1897890802524596	0.5241587781525489	1.8554193823523701	0.00045942505392038857	0.9672131147540983	0.004869905571556118
Klebsiella pneumoniae	species_mixedlm	years_since_first_sample	2.138063667101402	0.8718468998737483	3.4042804343290554	0.0009346714493857754	0.8032786885245902	0.00825626446957435
Corynebacterium striatum	species_mixedlm	Intercept	7.267336184059546	2.4322827843937977	12.102389583725294	0.00321987772705709	0.9180327868852459	0.024379074219146542
Cutibacterium acnes	species_mixedlm	Intercept	5.305983222566417	1.5079129041064858	9.10405354102635	0.006179331941934751	0.9508196721311475	0.037067494293228684
Serratia marcescens	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-1.4771179367163305	-2.536804172721097	-0.41743170071156377	0.006294480163001097	0.9672131147540983	0.037067494293228684
Cutibacterium acnes	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.head_neck]	1.943181855384214	0.4396722548463272	3.4466914559221005	0.011305305568622522	0.9508196721311475	0.05991811951369937
Corynebacterium striatum	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-2.397296708997544	-4.552348316051723	-0.24224510194336535	0.02923673699126955	0.9180327868852459	0.1393507063261165
Staphylococcus aureus	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.head_neck]	2.0689541236208133	0.18291806309649727	3.9549901841451294	0.03155110331912072	1.0	0.1393507063261165
Klebsiella pneumoniae	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.mixed]	3.025263764664246	0.060070649207725424	5.9904568801207665	0.04553589857046279	0.8032786885245902	0.18564635571034832
Serratia marcescens	species_mixedlm	years_since_first_sample	1.0392838171909609	-0.0012516610091106717	2.079819295391032	0.050276222592727855	0.9672131147540983	0.19033141410104118
Cutibacterium acnes	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.acute_like]	1.1859171251095386	-0.03642055987974957	2.4082548100988266	0.057228015797476446	0.9508196721311475	0.19931861878939264
Corynebacterium striatum	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-1.4247305387701046	-2.9104291276067507	0.06096805006654149	0.060171658502458154	0.9180327868852459	0.19931861878939264
Serratia marcescens	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.mixed]	-2.1552924687123913	-4.719220982685842	0.4086360452610598	0.09943742377027066	0.9672131147540983	0.31001079175437324
Klebsiella pneumoniae	species_mixedlm	Intercept	-4.099794179186723	-9.405115355482515	1.205526997109068	0.12987327934002835	0.8032786885245902	0.38240465583452793
Pseudomonas aeruginosa	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	1.0879768600195219	-0.405822885395708	2.5817766054347517	0.1534365337834975	1.0	0.4280071731855457
Cutibacterium acnes	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	0.9615100717476187	-0.40609973369773844	2.329119877192976	0.16821258962131247	0.9508196721311475	0.44451525081849574
Corynebacterium striatum	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.head_neck]	1.3856495946588379	-0.6219500459614402	3.393249235279116	0.1761286842865738	0.9180327868852459	0.44451525081849574
Corynebacterium striatum	species_mixedlm	years_since_first_sample	-0.6641266969512101	-1.8712382141009862	0.5429848201985661	0.28088657087279	0.9180327868852459	0.6291704955076495
Pseudomonas aeruginosa	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.mixed]	1.6097399715058731	-1.331834055476601	4.5513139984883475	0.2834658742143693	1.0	0.6291704955076495
Corynebacterium striatum	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.mixed]	-1.5750792748210276	-4.4619443861094155	1.3117858364673605	0.28490739419214317	0.9180327868852459	0.6291704955076495
Klebsiella pneumoniae	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-1.7137143743106997	-4.933468940320168	1.506040191698769	0.296859917457426	0.8032786885245902	0.6293430250097432
Cutibacterium acnes	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	0.7186580638680665	-0.7531324384482122	2.190448566184345	0.3385533963537781	0.9508196721311475	0.6901280771827015
Pseudomonas aeruginosa	species_mixedlm	Intercept	1.6360133339170657	-1.8711729579142378	5.14319962574837	0.3605731924867529	1.0	0.6930371729673623
Cutibacterium acnes	species_mixedlm	years_since_first_sample	-0.423149328314013	-1.344921677866615	0.49862302123858926	0.3682574821699619	0.9508196721311475	0.6930371729673623
Serratia marcescens	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-0.8187050437076134	-2.644054955254882	1.006644867839655	0.3793567724992496	0.9672131147540983	0.6930371729673623
Cutibacterium acnes	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.5652116900786752	-1.86300249631726	0.7325791161599096	0.3933265201675412	0.9508196721311475	0.6930371729673623
Corynebacterium striatum	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.7765999034649149	-2.605871106628859	1.052671299699029	0.4053613653205327	0.9180327868852459	0.6930371729673623
Corynebacterium striatum	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	0.7953948270283275	-1.2329262325914216	2.8237158866480767	0.44213734948900996	0.9180327868852459	0.7322899850911728
Klebsiella pneumoniae	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.5853655679003207	-2.208654476572037	1.037923340771396	0.47970806943910516	0.8032786885245902	0.734400447699981
Staphylococcus aureus	species_mixedlm	Intercept	1.3328956033331785	-2.3943740325668346	5.060165239233191	0.48336808853331803	1.0	0.734400447699981
Serratia marcescens	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-0.6665659353903263	-2.5374248441036853	1.204292973323033	0.4849814277264025	0.9672131147540983	0.734400447699981
Staphylococcus aureus	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.acute_like]	0.5639030600535708	-1.0763047546935973	2.204110874800739	0.5004161213213267	1.0	0.7367237341675088
Staphylococcus aureus	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-0.5629171991213571	-2.303488567849725	1.177654169607011	0.52616511682844	1.0	0.7536959781596574
Cutibacterium acnes	species_mixedlm	log10_bacterial_reads	-0.15782541511057274	-0.7275933506769352	0.41194252045578966	0.5871924718843999	0.9508196721311475	0.8189789739440315
