outcome	term	estimate_mixed	pvalue_mixed	qvalue_mixed	model_family_mixed	estimate_cluster	pvalue_cluster	qvalue_cluster	model_family_cluster	same_direction	estimate_shift
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.head_neck]	1.3856495946588379	0.1761286842865738	0.44451525081849574	mixedlm	0.9511403581382724	0.582730552655609	0.8864238625232047	cluster_ols	True	0.4345092365205655
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-1.4247305387701046	0.060171658502458154	0.19931861878939264	mixedlm	0.02955255269526841	0.9817004040289591	0.9817004040289591	cluster_ols	False	-1.454283091465373
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.7765999034649149	0.4053613653205327	0.6930371729673623	mixedlm	-0.4218001604155131	0.7349916060776993	0.9079308075077462	cluster_ols	True	-0.3547997430494018
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-2.397296708997544	0.02923673699126955	0.1393507063261165	mixedlm	-3.7105371964712193	0.00530321369060288	0.03181928214361728	cluster_ols	True	1.3132404874736752
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	0.7953948270283275	0.44213734948900996	0.7322899850911728	mixedlm	-1.4657156532096174	0.2495821666692314	0.6551531875067325	cluster_ols	False	2.261110480237945
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.mixed]	-1.5750792748210276	0.28490739419214317	0.6291704955076495	mixedlm	-1.5924353252837005	0.4639911784941204	0.8629227696488453	cluster_ols	True	0.017356050462672856
Corynebacterium striatum	Intercept	7.267336184059546	0.00321987772705709	0.024379074219146542	mixedlm					False	
Corynebacterium striatum	log10_bacterial_reads	-0.10563803235885616	0.7739919352895271	0.9073959790210584	mixedlm	-0.2558713784680583	0.6418987280169719	0.8866985412390894	cluster_ols	True	0.15023334610920214
Corynebacterium striatum	years_since_first_sample	-0.6641266969512101	0.28088657087279	0.6291704955076495	mixedlm					False	
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.head_neck]	1.943181855384214	0.011305305568622522	0.05991811951369937	mixedlm	2.1462460893472013	0.00329210325840108	0.027653667370569072	cluster_ols	True	-0.20306423396298734
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.5652116900786752	0.3933265201675412	0.6930371729673623	mixedlm	-0.6886614250315487	0.3390308771968794	0.7360735620139698	cluster_ols	True	0.12344973495287348
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	0.7186580638680665	0.3385533963537781	0.6901280771827015	mixedlm	0.6529496089696247	0.5108631815006446	0.8629227696488453	cluster_ols	True	0.06570845489844179
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.acute_like]	1.1859171251095386	0.057228015797476446	0.19931861878939264	mixedlm	1.3748315092111523	0.08152806069437278	0.31128895901487785	cluster_ols	True	-0.18891438410161365
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	0.9615100717476187	0.16821258962131247	0.44451525081849574	mixedlm	0.9984504279948414	0.054588376764410036	0.22927118241052216	cluster_ols	True	-0.036940356247222694
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.mixed]	0.2929008331669141	0.8252792836546133	0.9073959790210584	mixedlm	0.437326665275407	0.6755798409440681	0.8866985412390894	cluster_ols	True	-0.14442583210849286
Cutibacterium acnes	Intercept	5.305983222566417	0.006179331941934751	0.037067494293228684	mixedlm					False	
Cutibacterium acnes	log10_bacterial_reads	-0.15782541511057274	0.5871924718843999	0.8189789739440315	mixedlm	-0.20241864198963389	0.5742310162537794	0.8864238625232047	cluster_ols	True	0.04459322687906114
Cutibacterium acnes	years_since_first_sample	-0.423149328314013	0.3682574821699619	0.6930371729673623	mixedlm					False	
Klebsiella pneumoniae	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-1.7137143743106997	0.296859917457426	0.6293430250097432	mixedlm	-2.1218010740139768	0.04041407498205338	0.18859901658291578	cluster_ols	True	0.40808669970327704
Klebsiella pneumoniae	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.5853655679003207	0.47970806943910516	0.734400447699981	mixedlm	-0.4727706614342982	0.707457098829984	0.9003999439654342	cluster_ols	True	-0.11259490646602249
Klebsiella pneumoniae	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.5883165860862725	0.7006473982496655	0.9005283037757961	mixedlm	1.4106346624924393	0.4479660203900512	0.8629227696488453	cluster_ols	False	-1.9989512485787118
Klebsiella pneumoniae	C(chronicity_group, Treatment('unknown'))[T.acute_like]	0.025823105875210427	0.9851988174451869	0.9851988174451869	mixedlm	-0.7826144976204161	0.5136445057433603	0.8629227696488453	cluster_ols	False	0.8084376034956265
Klebsiella pneumoniae	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-0.22901646825429672	0.8298267147266951	0.9073959790210584	mixedlm	-0.052322885074891	0.97092575209494	0.9817004040289591	cluster_ols	True	-0.17669358317940573
Klebsiella pneumoniae	C(chronicity_group, Treatment('unknown'))[T.mixed]	3.025263764664246	0.04553589857046279	0.18564635571034832	mixedlm	2.546908714003123	0.24047564871181804	0.6551531875067325	cluster_ols	True	0.47835505066112294
Klebsiella pneumoniae	Intercept	-4.099794179186723	0.12987327934002835	0.38240465583452793	mixedlm					False	
Klebsiella pneumoniae	log10_bacterial_reads	1.5740206079881893	5.845339106254974e-05	0.0010326765754383788	mixedlm	1.5467489029837638	0.010214105922069042	0.053624056090862474	cluster_ols	True	0.02727170500442555
Klebsiella pneumoniae	years_since_first_sample	2.138063667101402	0.0009346714493857754	0.00825626446957435	mixedlm					False	
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-0.3820445331364243	0.6533205871006034	0.8878459260597944	mixedlm	-0.5062315311748573	0.481982508865048	0.8629227696488453	cluster_ols	True	0.12418699803843303
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.2614436479552676	0.7093577613497554	0.9005283037757961	mixedlm	0.3332069656917955	0.6548494368979055	0.8866985412390894	cluster_ols	True	-0.07176331773652789
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	1.0879768600195219	0.1534365337834975	0.4280071731855457	mixedlm	0.7274254749977535	0.2786012327160783	0.6805450819297468	cluster_ols	True	0.3605513850217684
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-0.00848077446638372			mixedlm	-0.10672508621153654	0.9241949106260487	0.9817004040289591	cluster_ols	True	0.09824431174515282
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	2.943394295243277	0.00029416922769471345	0.0038977422669549534	mixedlm	2.7109064536695633	0.00017749203353933037	0.007454665408651876	cluster_ols	True	0.23248784157371372
