species	term	estimate	conf_low	conf_high	pvalue	prevalence	qvalue
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	2.6931528791106567	1.2504336677660892	4.135872090455225	0.00025349384869697824	1.0	0.008872284704394238
Serratia marcescens	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-3.1695975932513525	-5.0611487217925495	-1.2780464647101553	0.0010225986381954323	0.9666666666666667	0.017895476168420067
Staphylococcus aureus	C(body_region, Treatment('lower_extremity'))[T.head_neck]	2.842347465755256	1.0019329383893925	4.682761993121119	0.0024700999092333964	1.0	0.02521884874315848
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.head_neck]	2.149971975068248	0.7041623130681423	3.595781637068354	0.0035621509344317976	0.95	0.02521884874315848
Pseudomonas aeruginosa	log10_bacterial_reads	1.176378970344085	0.3764483596468913	1.9763095810412787	0.003947516899285957	1.0	0.02521884874315848
Staphylococcus aureus	log10_bacterial_reads	1.1798682962584957	0.3694773939890228	1.9902591985279685	0.004323231213112883	1.0	0.02521884874315848
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-3.7284407222145948	-6.346383945850169	-1.11049749857902	0.005248783038835282	0.9166666666666666	0.02624391519417641
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	1.018429176983548	0.006118156512361139	2.030740197454735	0.048631355131170347	0.95	0.21276217869887026
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.acute_like]	1.3477428561970004	-0.2610627963166856	2.9565485087106866	0.10060693466746853	0.95	0.39124919037348876
Serratia marcescens	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-2.120023902625248	-4.829287164399676	0.5892393591491798	0.12510588750067628	0.9666666666666667	0.437870606252367
Serratia marcescens	log10_bacterial_reads	0.7107732021255867	-0.2485568014763443	1.6701032057275178	0.1464602459038017	0.9666666666666667	0.4660098733302781
Serratia marcescens	C(chronicity_group, Treatment('unknown'))[T.mixed]	-1.6041171360504145	-4.009359350960038	0.8011250788592084	0.1911618501661667	0.9666666666666667	0.5575553963179862
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	0.8242012740937834	-0.5488160417045749	2.1972185898921417	0.239380606328088	1.0	0.6386512719541345
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-1.4521429846093241	-3.9549418000020546	1.0506558307834064	0.25546050878165383	0.9166666666666666	0.6386512719541345
Serratia marcescens	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.965825159595108	-2.770877464791854	0.839227145601638	0.2943100481109926	0.9666666666666667	0.6867234455923161
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.6859342531588852	-2.084789749218807	0.7129212429010368	0.33651396060605043	0.95	0.7220856338452595
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.mixed]	1.2075670155205114	-1.3286952052177734	3.7438292362587964	0.35072730786769746	1.0	0.7220856338452595
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.mixed]	-1.5718003752192624	-5.817187306669288	2.673586556230763	0.4680523354620769	0.9166666666666666	0.8530623383705567
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-0.5080087389992844	-1.9098264090515131	0.8938089310529442	0.47753238717635815	1.0	0.8530623383705567
Staphylococcus aureus	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-0.458772689047072	-2.0391510139296503	1.1216056358355062	0.569380753822385	1.0	0.8530623383705567
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.head_neck]	0.9539319451911525	-2.429860914898513	4.337724805280819	0.5805801880068366	0.9166666666666666	0.8530623383705567
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	0.5517636756176417	-1.4344286010804108	2.5379559523156945	0.5861129528302474	0.95	0.8530623383705567
Cutibacterium acnes	log10_bacterial_reads	-0.1841457846231489	-0.8773211533866575	0.5090295841403597	0.6025931720529276	0.95	0.8530623383705567
Staphylococcus aureus	C(chronicity_group, Treatment('unknown'))[T.acute_like]	0.5302130673795111	-1.5004717189827441	2.5608978537417664	0.6088275124389289	1.0	0.8530623383705567
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.mixed]	0.46783980913701473	-1.537125176490611	2.4728047947646408	0.6474272244520458	0.95	0.8530623383705567
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.3320393021235253	-1.135227785999337	1.7993063902463875	0.6573784317716087	1.0	0.8530623383705567
Corynebacterium striatum	log10_bacterial_reads	-0.24388770520410727	-1.3239675315925246	0.83619212118431	0.6580766610287152	0.9166666666666666	0.8530623383705567
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.4893767463258452	-2.9504222764832555	1.9716687838315652	0.696730944750412	0.9166666666666666	0.8709136809380149
Staphylococcus aureus	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.2608906111172926	-2.6963316570352234	2.174550434800638	0.833701776862441	1.0	0.9612807345134627
Serratia marcescens	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-0.24455488375120227	-2.6932217941818215	2.2041120266794167	0.8448083350752442	0.9666666666666667	0.9612807345134627
Staphylococcus aureus	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	0.18244149815810817	-1.7266121777341383	2.0914951740503547	0.8514200791404956	1.0	0.9612807345134627
Serratia marcescens	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.13394193803661447	-2.1060297056083916	1.8381458295351625	0.8940996608296339	0.9666666666666667	0.9719975503304059
Staphylococcus aureus	C(chronicity_group, Treatment('unknown'))[T.mixed]	0.18972431743798335	-3.355093353930496	3.734541988806463	0.9164548331686684	1.0	0.9719975503304059
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-0.07971260826989979	-2.320625142643192	2.161199926103393	0.9444174394099736	1.0	0.9721944229220316
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.03161847112291105	-2.488279137340621	2.5515160795864436	0.9803798488286128	0.9166666666666666	0.9803798488286128
