species	term	estimate	conf_low	conf_high	pvalue	prevalence	qvalue
Staphylococcus aureus	C(body_region, Treatment('lower_extremity'))[T.head_neck]	7.242562476908736	3.1235636440312016	11.361561309786271	0.000568392632810389	0.6833333333333333	0.008717303437704162
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-9.023970558629928	-14.166430319624027	-3.88151079763583	0.0005831386657063816	0.4166666666666667	0.008717303437704162
Serratia marcescens	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-6.329594827266492	-10.009034688115918	-2.650154966417067	0.0007471974375174997	0.3	0.008717303437704162
Serratia marcescens	log10_bacterial_reads	2.466671332020122	0.7680908432852016	4.165251820755042	0.004423726514131507	0.3	0.03737286977861806
Serratia marcescens	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-4.964929654964041	-8.479320351272444	-1.4505389586556388	0.005624162679198008	0.3	0.03737286977861806
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.acute_like]	5.4616231031001625	1.5350671854645839	9.388179020735741	0.006406777676334525	0.1	0.03737286977861806
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	4.845920072970754	1.2763171167537237	8.415523029187785	0.0077966320290512	0.7166666666666667	0.038983160145256
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-5.185619577618377	-9.099209680769174	-1.2720294744675789	0.009403953774257026	0.4166666666666667	0.04114229776237449
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-4.653629403552918	-8.621565567199198	-0.6856932399066369	0.021524111995882243	0.4166666666666667	0.08370487998398651
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	1.4320261518636763	-0.23584169128451782	3.0998939950118705	0.0924101372934583	0.1	0.3234354805271041
Staphylococcus aureus	log10_bacterial_reads	1.9398343670238587	-0.46617449211938267	4.3458432261671	0.11405818907513215	0.6833333333333333	0.3629124197845114
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-2.998969862763775	-7.112573349347194	1.1146336238196444	0.15303682792739587	0.4166666666666667	0.4143148704690287
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.mixed]	-6.350395942182184	-15.079114914777534	2.378323030413167	0.15388838045992495	0.4166666666666667	0.4143148704690287
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	3.26972030534691	-1.6986583702881513	8.23809898098197	0.19709779496849933	0.7166666666666667	0.4927444874212483
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-3.229054425416375	-9.00737248613706	2.549263635304309	0.27339746028564793	0.4166666666666667	0.6379274073331785
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	1.81798994334999	-1.8541554575129235	5.490135344212904	0.3318817613701883	0.7166666666666667	0.6403329071904107
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.head_neck]	2.4510114089469033	-2.6197992476221197	7.521822065515926	0.34345427110543525	0.1	0.6403329071904107
Serratia marcescens	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.9413488228720723	-2.893247527685002	1.0105498819408576	0.3445371318014733	0.3	0.6403329071904107
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.mixed]	-0.799974636008149	-2.4693319743741666	0.8693827023578686	0.34760929247479433	0.1	0.6403329071904107
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-2.5282395796903563	-8.702221912026337	3.6457427526456243	0.42220406726249515	0.7166666666666667	0.6789366235218642
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	1.3338577438818149	-2.0012062147775036	4.668921702541134	0.4331064435890811	0.1	0.6789366235218642
Staphylococcus aureus	C(chronicity_group, Treatment('unknown'))[T.mixed]	2.062676186072107	-3.1317165180980284	7.257068890242242	0.4363949900720372	0.6833333333333333	0.6789366235218642
Staphylococcus aureus	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	2.0743831837194984	-3.2623565531780905	7.411122920617087	0.4461583526000822	0.6833333333333333	0.6789366235218642
Pseudomonas aeruginosa	log10_bacterial_reads	0.8336147578121189	-1.6060299898199524	3.27325950544419	0.5030425663525333	0.7166666666666667	0.7220650755595132
Serratia marcescens	C(chronicity_group, Treatment('unknown'))[T.mixed]	1.7740249802727195	-3.9857056975603555	7.533755658105795	0.5460574695499092	0.3	0.7220650755595132
Serratia marcescens	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-1.057337839831695	-4.555141322829038	2.4404656431656484	0.5535358167354242	0.3	0.7220650755595132
Staphylococcus aureus	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	0.9499595753742489	-2.2204441288568777	4.1203632796053755	0.5570216297173387	0.6833333333333333	0.7220650755595132
Staphylococcus aureus	C(chronicity_group, Treatment('unknown'))[T.acute_like]	1.4334361220169616	-3.626890052811925	6.493762296845848	0.578759209508134	0.6833333333333333	0.7234490118851674
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-1.7499222929400162	-8.70441737030415	5.2045727844241165	0.6218887823084334	0.7166666666666667	0.7505554269239713
Staphylococcus aureus	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-1.6446141425548193	-9.4617174832936	6.172489198183961	0.6800827250272784	0.6833333333333333	0.7934298458651582
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.42375123097823275	-2.640946066264288	1.7934436043078223	0.707966036005294	0.1	0.7993164922640416
Corynebacterium striatum	log10_bacterial_reads	-0.3742781488577361	-2.8596646365894687	2.111108338873996	0.7678762620261412	0.4166666666666667	0.8236195827387562
Serratia marcescens	C(body_region, Treatment('lower_extremity'))[T.head_neck]	0.6543029029685101	-3.8642407019960467	5.172846507933067	0.7765556065822559	0.3	0.8236195827387562
Cutibacterium acnes	log10_bacterial_reads	0.025949786403565572	-1.0815613581292305	1.1334609309363617	0.9633713253241009	0.1	0.9917057760689274
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.mixed]	-0.011678236557169708	-6.4253543314409995	6.401997858326661	0.9971525410259433	0.7166666666666667	0.9971525410259433
