X_features	Y_features	association	p-values	q-values
culture_klebsiella_spp	Xanthomonas citri	0.8042238159171431	5.928873669546481e-15	8.045481569574572e-11
host_removed_fraction	Cutibacterium acnes	0.7102966851119558	1.444540622899791e-10	9.801208126375084e-07
log10_bacterial_reads	Serratia plymuthica	0.7032375743015546	2.6257301474027526e-10	1.0618815344572162e-06
log10_bacterial_reads	Serratia rubidaea	0.7011221971869079	3.1300855842511903e-10	1.0618815344572162e-06
culture_p_aeruginosa	Pseudomonas paraeruginosa	0.691931859046023	6.599979224793851e-10	1.5746213260133952e-06
log10_bacterial_reads	Salmonella enterica	0.691260349570559	6.962216622019434e-10	1.5746213260133952e-06
log10_bacterial_reads	Cutibacterium acnes	-0.6811042370305175	1.5355306495767447e-09	2.976735844965204e-06
log10_bacterial_reads	Serratia symbiotica	0.6736374598096568	2.692909602916244e-09	4.164984679533677e-06
culture_p_aeruginosa	Pseudomonas citronellolis	0.6732939638528641	2.762333243611134e-09	4.164984679533677e-06
log10_bacterial_reads	Serratia fonticola	0.6671404413345439	4.33371020550616e-09	5.880844748871859e-06
log10_bacterial_reads	Serratia inhibens	0.6615774541353151	6.453219113291523e-09	7.786726802115035e-06
host_removed_fraction	Serratia rubidaea	-0.6606596956530173	6.885830628252058e-09	7.786726802115035e-06
log10_bacterial_reads	Klebsiella quasipneumoniae	0.6583187536159493	8.1170370384476e-09	8.472937893210303e-06
log10_bacterial_reads	Serratia odorifera	0.6544762556365115	1.0600291257230612e-08	9.645942023891632e-06
log10_bacterial_reads	Serratia sp. UGAL515B_01	0.6543915003850986	1.0662426702901584e-08	9.645942023891632e-06
culture_klebsiella_spp	Shigella boydii	0.6531342949017207	1.16255489479782e-08	9.859918701504013e-06
log10_bacterial_reads	Serratia aquatilis	0.6496677522160597	1.4725573098086093e-08	1.1754472173001664e-05
log10_bacterial_reads	Serratia entomophila	0.6439745556142773	2.15704806231668e-08	1.6261745669798527e-05
culture_klebsiella_spp	Pseudomonas allokribbensis	0.6408688621336133	2.6476315743659368e-08	1.8909663402181985e-05
host_removed_fraction	Serratia aquatilis	-0.6393821715254102	2.918147041264099e-08	1.945581323501193e-05
host_removed_fraction	Serratia fonticola	-0.6385629494095377	3.0781617102569686e-08	1.945581323501193e-05
culture_p_aeruginosa	Pseudomonas sp. ATCC 13867	0.6378518836491406	3.2237349928072846e-08	1.945581323501193e-05
log10_bacterial_reads	Serratia liquefaciens	0.6375026253237165	3.2975954635613446e-08	1.945581323501193e-05
culture_klebsiella_spp	Klebsiella huaxiensis	0.6364361133157248	3.533156138796614e-08	1.997705366811252e-05
host_removed_fraction	Serratia sp. UGAL515B_01	-0.632372738758449	4.584421933074688e-08	2.4884242252729403e-05
host_removed_fraction	Serratia symbiotica	-0.630278867980476	5.235256444434566e-08	2.732401151960656e-05
log10_bacterial_reads	Serratia grimesii	0.6292489698079555	5.586478643872536e-08	2.8077227850870488e-05
host_removed_fraction	Serratia odorifera	-0.626526434722778	6.625070007309825e-08	3.210792857114083e-05
log10_bacterial_reads	Serratia proteamaculans	0.6246014111255138	7.466576133457823e-08	3.346375120894648e-05
culture_p_aeruginosa	Pseudomonas cavernae	0.6245898934264794	7.471901657167745e-08	3.346375120894648e-05
log10_bacterial_reads	Serratia nevei	0.6242204636925269	7.644629974040834e-08	3.346375120894648e-05
log10_bacterial_reads	Serratia quinivorans	0.6226991347366119	8.396406989153944e-08	3.35112429619698e-05
log10_bacterial_reads	Serratia rhizosphaerae	0.6221469216570963	8.686130398889503e-08	3.35112429619698e-05
log10_bacterial_reads	Serratia sp. SCBI	0.6215538316616177	9.007784063437925e-08	3.35112429619698e-05
log10_bacterial_reads	Serratia sp. NGAS9	0.6214369334120047	9.072492559151474e-08	3.35112429619698e-05
host_removed_fraction	Serratia inhibens	-0.6212338637247197	9.185943780381874e-08	3.35112429619698e-05
log10_bacterial_reads	Serratia sp. 3ACOL1	0.6210065898473125	9.314502857520409e-08	3.35112429619698e-05
log10_bacterial_reads	Serratia sp. 1D1416	0.6208847203324893	9.38413583312345e-08	3.35112429619698e-05
host_removed_fraction	Serratia entomophila	-0.6123145723009938	1.5719516125455182e-07	5.4695854826263286e-05
culture_klebsiella_spp	Enterobacter cloacae	0.6112751295360679	1.67171206318115e-07	5.641344083096755e-05
host_removed_fraction	Serratia plymuthica	-0.6109466325949481	1.7044591555413925e-07	5.641344083096755e-05
culture_klebsiella_spp	Klebsiella africana	0.6075071990741009	2.085584739074319e-07	6.581717420753141e-05
culture_klebsiella_spp	Klebsiella quasivariicola	0.6075071990741009	2.085584739074319e-07	6.581717420753141e-05
culture_p_aeruginosa	Pseudomonas sp. GCEP-101	0.6069036624739412	2.1602293973851227e-07	6.66234384602639e-05
host_removed_fraction	Serratia quinivorans	-0.6032927893707783	2.662023631502507e-07	7.713736168176592e-05
host_removed_fraction	Serratia sp. 1D1416	-0.6028983514568387	2.723034191660164e-07	7.713736168176592e-05
host_removed_fraction	Serratia sp. 3ACOL1	-0.6028792016084726	2.726029451096541e-07	7.713736168176592e-05
host_removed_fraction	Serratia sp. NGAS9	-0.602582801125687	2.772786875522475e-07	7.713736168176592e-05
host_removed_fraction	Serratia rhizosphaerae	-0.602503913542899	2.785357938398328e-07	7.713736168176592e-05
log10_bacterial_reads	Serratia ficaria	0.6010746652227058	3.022607623567708e-07	8.203357090362759e-05
host_removed_fraction	Serratia grimesii	-0.5971731959504486	3.770626863853927e-07	0.0001003282481225
chronicity_group_unknown	Serratia aquatilis	0.5965328833242117	3.9088863654172003e-07	0.000102006899959
log10_bacterial_reads	Serratia sp. FGI94	0.5935284221549535	4.623648163440009e-07	0.0001179168792082
log10_bacterial_reads	Serratia sp. JSRIV002	0.5932630955023044	4.692344493179641e-07	0.0001179168792082
log10_bacterial_reads	Enterobacter ludwigii	0.5929190722341642	4.782844132526037e-07	0.0001180058088697
host_removed_fraction	Serratia liquefaciens	-0.5920941630688636	5.006569186946917e-07	0.0001213198997622
host_removed_fraction	Serratia proteamaculans	-0.5905447106164745	5.453604109447732e-07	0.0001298340487108
host_removed_fraction	Serratia nevei	-0.5890209208845264	5.929571254265004e-07	0.0001387315205523
host_removed_fraction	Serratia sp. SCBI	-0.5847543096350719	7.478094051183813e-07	0.0001719961631772
culture_p_aeruginosa	Pseudomonas aeruginosa	0.5835454324148674	7.981437660482033e-07	0.0001805135150879
log10_bacterial_reads	Enterobacter asburiae	0.5824686250371497	8.456382762963301e-07	0.0001881198591695
clinical_infection_flag_unknown	Serratia sp. NGAS9	0.5816894141965304	8.816458203229749e-07	0.0001899037108219
clinical_infection_flag_unknown	Serratia sp. 1D1416	0.5816894141965304	8.816458203229749e-07	0.0001899037108219
clinical_infection_flag_unknown	Serratia rhizosphaerae	0.5782976391866381	1.0557885169881367e-06	0.0002238601589926
log10_bacterial_reads	Klebsiella grimontii	0.5754591922701885	1.225785975613839e-06	0.0002559063952166
host_removed_fraction	Serratia ficaria	-0.5750729363914288	1.2508082687847609e-06	0.0002571737607183
culture_p_aeruginosa	Pseudomonas sp. LS44	0.5730679671858449	1.388564041622564e-06	0.000278103896429
log10_bacterial_reads	Serratia sarumanii	0.5728190486481938	1.4066250317830295e-06	0.000278103896429
