feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	feature_label	term_label	conf_low	conf_high
Cutibacterium.acnes	log10_bacterial_reads	log10_bacterial_reads	-3.10923684780117	0.474169292766999	61	58	6.9605124740847e-8	1.48096010086909e-6	Cutibacterium acnes	log10_bacterial_reads = log10_bacterial_reads	-4.038608661624488	-2.179865033977852
Corynebacterium.striatum	log10_bacterial_reads	log10_bacterial_reads	-2.73257952376665	0.504915392829445	61	56	2.20209229525415e-6	3.21473327774329e-5	Corynebacterium striatum	log10_bacterial_reads = log10_bacterial_reads	-3.722213693712362	-1.7429453538209376
Pseudomonas.aeruginosa	log10_bacterial_reads	log10_bacterial_reads	-1.52725018300542	0.522210708775766	61	61	0.00517249483762367	0.0314437376147336	Pseudomonas aeruginosa	log10_bacterial_reads = log10_bacterial_reads	-2.5507831722059215	-0.5037171938049185
Escherichia.coli	log10_bacterial_reads	log10_bacterial_reads	-1.78876905857588	0.624921803481993	61	54	0.00627178940158042	0.0367875790354941	Escherichia coli	log10_bacterial_reads = log10_bacterial_reads	-3.0136157934005863	-0.5639223237511737
Staphylococcus.aureus	log10_bacterial_reads	log10_bacterial_reads	-1.49672050584622	0.527048063619665	61	61	0.00651089843874204	0.0378540606903607	Staphylococcus aureus	log10_bacterial_reads = log10_bacterial_reads	-2.5297347105407635	-0.46370630115167666
Acinetobacter.baumannii	log10_bacterial_reads	log10_bacterial_reads	-1.99057818916969	0.754535432272601	61	31	0.0111784649018682	0.0604658150387123	Acinetobacter baumannii	log10_bacterial_reads = log10_bacterial_reads	-3.469467636423988	-0.5116887419153922
Serratia.marcescens	log10_bacterial_reads	log10_bacterial_reads	-1.3866113024325	0.550482984130489	61	59	0.0153557697401831	0.0799779673967869	Serratia marcescens	log10_bacterial_reads = log10_bacterial_reads	-2.4655579513282584	-0.30766465353674155
Staphylococcus.aureus	body_region	head_neck	3.32902032439497	1.38437749570365	61	61	0.0199300281502915	0.0982648950526585	Staphylococcus aureus	body_region = head_neck	0.6156404328158156	6.042400215974125
Cutibacterium.acnes	body_region	trunk_perineum	-1.87695616321324	0.946315816578062	61	58	0.0550823496148852	0.231438443760022	Cutibacterium acnes	body_region = trunk_perineum	-3.7317351637062415	-0.02217716272023873
Corynebacterium.striatum	body_region	trunk_perineum	-1.86987490287573	1.02425648966083	61	56	0.0752873547410978	0.284103225438105	Corynebacterium striatum	body_region = trunk_perineum	-3.8774176226109565	0.13766781685949647
