effect	term	estimate	std.error	statistic	df	p.value	conf.low	conf.high	model	term_label	qvalue
fixed	same_patient	-0.060727735003359415	0.02398460295894086	-2.531946645409097	1405.304653507817	0.011451308144375855	-0.10777721529348218	-0.013678254713236651	body_region_model	Same patient	0.030536821718335612
fixed	same_batch	-0.017431945613590048	0.03812072636910406	-0.4572826195598997	1823.9024782637875	0.647522381544802	-0.09219681070487469	0.0573329194776946	body_region_model	Same batch date	0.6683495214943216
fixed	same_body_region	-0.023103322818772264	0.012058667868841275	-1.9159100383276646	1775.2236763115952	0.0555370092694023	-0.04675400261726081	5.473569797162792e-4	body_region_model	Same body region	0.08885921483104368
fixed	same_chronicity	-0.06905563667023777	0.012075046587512963	-5.718871241594176	1820.2832596022295	1.2508304152360625e-8	-0.09273804010318705	-0.04537323323728849	body_region_model	Same chronicity	1.00066433218885e-7
fixed	same_culture_positive	-0.009913968611699742	0.023127255050888862	-0.4286703540859127	495.25482524759377	0.6683495214943216	-0.05535360177447143	0.035525664551071943	body_region_model	Same culture positivity	0.6683495214943216
fixed	delta_years_since_first_sample	0.010172554461231238	0.011686339934153047	0.8704653910932534	1158.4113051915128	0.3842264666566927	-0.012756207579565838	0.03310131650202831	body_region_model	Elapsed-time gap (years)	0.5123019555422569
fixed	mean_host_fraction	-0.44103464283563054	0.1018236964515084	-4.331355649081792	106.4857352252534	3.364749754355371e-5	-0.6428993940001138	-0.2391698916711473	body_region_model	Mean host fraction	1.3458999017421485e-4
fixed	mean_log10_bacterial_reads	-0.07400398232547895	0.03355702501101769	-2.2053201170598826	106.34236978306436	0.02958440774313158	-0.14053157547659015	-0.007476389174367742	body_region_model	Mean bacterial read depth	0.05916881548626316
fixed	same_patient	-0.06480535760565764	0.023934497240103828	-2.7076130722759446	1406.32355335921	0.006858994621254576	-0.11175651851475188	-0.0178541966965634	exact_location_model	Same patient	0.018290652323345535
fixed	same_batch	-0.01775986489203229	0.03816414422017955	-0.4653547264042053	1824.044796563823	0.6417330020310098	-0.09260988003827156	0.05709015025420699	exact_location_model	Same batch date	0.7058448515187784
fixed	same_location	0.014476125795285302	0.03834707417217339	0.3775027458493802	1787.0523981683962	0.7058448515187784	-0.0607336972682464	0.089685948858817	exact_location_model	Same exact location	0.7058448515187784
fixed	same_chronicity	-0.06968093457864012	0.012083407740290578	-5.766662524040958	1820.3180216590933	9.479076985416084e-9	-0.0933797361725208	-0.04598213298475944	exact_location_model	Same chronicity	7.583261588332867e-8
fixed	same_culture_positive	-0.008947055988163264	0.023107766859332402	-0.3871882576377071	489.7157411798975	0.6987850498394936	-0.054349657441749494	0.03645554546542297	exact_location_model	Same culture positivity	0.7058448515187784
fixed	delta_years_since_first_sample	0.010272586459730117	0.011692762810775083	0.8785422766177854	1149.4673502765233	0.3798331093451617	-0.01266896405594776	0.033214136975407996	exact_location_model	Elapsed-time gap (years)	0.6077329749522588
fixed	mean_host_fraction	-0.4433925325209935	0.10143307181390902	-4.371281718988552	106.30904713790211	2.8866497867548625e-5	-0.6444867138954558	-0.2422983511465312	exact_location_model	Mean host fraction	1.154659914701945e-4
fixed	mean_log10_bacterial_reads	-0.07478918516129808	0.03342534440255061	-2.2374993137121155	106.10615478038561	0.02734374603462944	-0.14105741603907024	-0.008520954283525908	exact_location_model	Mean bacterial read depth	0.05468749206925888
