feature	01A	01D	01E	01F	01G	02A	02B	02C	02H	02I	02J	02K	02L	02M	02N	02O	03A	03B	03C	03D	03E	03F	03I	04B	04C	05C	05E	05F	05G	06A	07A	07B	07C	07D	08B	09A	10A	10B	10C	11A	11B	12A	12B	13B	13C	13D	14A	15A	16A	16C	16D	16E	16F	16G	16H	17B	17C	17G	17I	20B	20C
Cutibacterium acnes	9.47767617766618e-05	0.00069016514666	0.0001488438779601	2.7324768536439856e-05	7.580630206945373e-06	3.047806774183665e-06	1.31213088863468e-05	6.8516455465907526e-06	0.0002133838032415	8.380920590957636e-06	1.043270876763106e-05	2.550109878958595e-06	0.0003252114538146	0.0012611904811131	0.0	0.000118821900026	5.389687555868712e-05	2.9537246291756963e-05	4.106124695595951e-05	9.223124889495662e-05	0.0060938185006576	0.0024576756029363	5.694958425479085e-06	0.0011856986501276	0.002715827149899	0.0312448229018256	0.0811255800029935	0.0834597875569044	0.0060581252558329	5.200083617344567e-06	1.7597327489118192e-05	6.195931560693201e-06	2.315216100412923e-05	1.6276659812384367e-05	0.0	0.0442293303766994	0.0056814180068083	0.0012668195980415	0.0066202910239607	0.2665745856353591	0.006213702077944	0.0010670398748606	0.0010272760418468	3.4800498343136278e-06	0.021485313836112	0.0498180615282831	8.86584842945525e-05	2.018213213331209e-05	0.0	0.1223687658310769	0.001554783244924	0.0044125592843849	0.0001738170217986	0.0009147407786058	0.0004660868828321	0.0380416156670746	0.0011822838442892	0.0113272160512798	0.0163280452732164	0.0005339365373133	8.067801806380825e-05
Cutibacterium granulosum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001692170087267	0.0	0.0	0.0	0.0005798349955269	0.0	0.0017132507709628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000213218789615	0.000164338537387	0.0	0.0004032664583123	0.0027131018153117	0.0	3.273756087779631e-05	2.83875935570808e-05	0.0	0.0004680345080577	0.001389348329474	0.0	0.0	0.0	0.0042798497685387	0.0	0.0	0.0	0.0	0.0	0.0007833537331701	1.838479662172291e-05	0.0	0.0	0.0	0.0
Cutibacterium modestum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008980691513246	0.0006853003083851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004186841686987	0.0	0.0	0.0	0.0007892659826361	0.0	6.138292664586808e-06	0.0	0.0	0.0004174361828623	0.00099239166391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53553781186979e-05	0.0	0.0	0.0	0.0
Microlunatus sagamiharensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.895136002248506e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000381034425632	0.0	0.000489500220275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.20272842516602e-05	0.0	0.0	0.0	0.0031570639305445	1.6739267875928545e-05	5.115243887155674e-06	3.4597379647692225e-05	0.0	0.0	0.0008269930532583	2.820951773008489e-06	0.0	0.0	0.001921565202201	0.0	0.0	0.0	0.0	0.0	0.0007833537331701	6.929654111264789e-05	0.0	0.0	0.0	0.0
Friedmanniella luteola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6035766172871973e-06	0.0	9.912916828014408e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001988005698949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002663772691397	4.292119968186807e-06	0.0	0.0	0.0	0.0	0.0	1.1283807092033954e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.808331424142915e-05	0.0	0.0	0.0	0.0
Micrococcus luteus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.280286532901165e-05	0.0	9.55244712517752e-06	0.0	0.0	3.672455873009131e-05	0.0	0.0	0.0	3.615034336253405e-06	0.0	5.007469140970672e-06	6.707727192360482e-05	0.0	0.0	0.0	0.0	0.0001255873826542	0.0031808091183194	0.0	0.0134123060355377	0.0	9.880158872954675e-06	0.0	0.0	0.0	0.0	0.0	0.0001666983264263	0.0	0.0	0.0016130658332493	0.0543606945540647	0.0003480909294199	0.0001289041459563	7.806588228197219e-05	0.0	0.0003415386950691	0.0008766126364538	2.1560131407993448e-05	7.679926387012566e-06	0.0	0.0	0.0	0.0	0.0	0.0005380828109446	0.0	0.0113586291309669	6.929654111264789e-05	0.0	0.0	0.0	0.0
Kocuria rosea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.915593849613086e-06	0.0	0.0	0.0	0.0	4.867110193144631e-06	0.0	0.0	0.0	0.0	0.0	0.0	7.65555820867229e-06	0.0	0.0	0.0	0.0	0.0	0.0004638679964215	0.0043406675647358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004884648634818	0.0	0.0	0.0	0.0061168113654301	0.0	0.0	0.0	0.0	0.0	0.0031094938802514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005385556915544	0.0	0.0	0.0	0.0	0.0
Kocuria palustris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.664950159380938e-06	0.0	0.0	0.0	0.0	1.5928724268473338e-05	0.0	0.0	0.0	0.0	0.0	0.0	6.197356645115663e-06	0.0	0.0001369851975407	0.0	0.0	0.0	0.0013253371326331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.20272842516602e-05	0.0	0.0	0.0	0.0019238358326756	1.5451631885472503e-05	1.4322682884035888e-05	2.395203206378692e-05	0.0	0.0001454701849368	0.0002150181938471	0.0	0.0	0.0	0.0022709406935103	0.0	0.0002551479858317	0.0	0.0	0.0	0.044798041615667	2.1213226871218743e-05	0.0	0.0	0.0	0.0
Kocuria rhizophila	0.0	0.0	6.075260324904922e-05	0.0	0.0	0.0	0.0	7.288984624032715e-06	0.0	0.0	0.0	0.0	3.274237766297297e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0001363418461925	0.0	0.0	0.0	0.0	8.895772938012162e-05	0.0021536728405288	0.0011225864391558	0.0013706006167702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009924365480265	0.0	0.0	0.0005488904571473	0.0014798737174427	0.0001669634667624	1.8926402382475997e-05	2.217780746646937e-05	0.0	0.000531282414552	0.00198478332782	1.6321220972406255e-05	0.0	0.0	0.0042798497685387	0.0	0.0	0.0	0.0	0.0	0.001468788249694	3.53553781186979e-05	0.0	0.0	0.0	0.0
Rothia mucilaginosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4987126195357032e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.73594545736492e-06	0.0	3.6455039088915664e-06	0.0	0.0	0.0	0.0	0.0	0.0002485007123687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018918321696756	0.0	0.0	0.0	0.0004932912391475	6.00896795546153e-06	6.649817053302376e-06	0.0	0.0	0.0004933336706555	0.0010089315249751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004406364749082	0.0	0.0	0.0	0.0	0.0
